iter	Passed	Remaining
398	270247	68408
399	271132	67783
400	272013	67155
401	272648	66466
402	273361	65796
403	274056	65122
404	274727	64442
405	275476	63780
406	276453	63170
407	277243	62515
408	278071	61869
409	278942	61231
410	279934	60618
411	280768	59969
412	281515	59302
413	282538	58691
414	284156	58200
415	285894	57728
416	287292	57182
417	288275	56551
418	289340	55934
419	291188	55464
420	292351	54859
421	293389	54228
422	294327	53577
423	295284	52928
424	296188	52268
425	297100	51608
426	297877	50925
427	298707	50249
428	299462	49561
429	300473	48914
430	301281	48233
431	302105	47553
432	302937	46874
433	303937	46220
434	304689	45528
435	305432	44834
436	306277	44154
437	307214	43486
438	308028	42801
439	308880	42120
440	309772	41443
441	310764	40779
442	311532	40084
443	312521	39417
444	313290	38721
445	314117	38032
446	314898	37337
447	315692	36642
448	316489	35948
449	317295	35255
450	318178	34569
451	319005	33876
452	319973	33198
453	320758	32499
454	321473	31794
455	322179	31087
456	322903	30382
457	323661	29680
458	324504	28986
459	325223	28280
460	326072	27585
461	326987	26895
462	327794	26195
463	328645	25498
464	329585	24807
465	330488	24112
466	331203	23404
467	331916	22695
468	332701	21990
469	333312	21275
470	334096	20570
471	334745	19857
472	335449	19148
473	336333	18448
474	337142	17744
475	337827	17033
476	338639	16328
477	339366	15619
478	340247	14916
479	341224	14217
480	342071	13512
481	342970	12808
482	343603	12093
483	344362	11383
484	345047	10671
485	345908	9964
486	346735	9255
487	347579	8547
488	348154	7831
489	348880	7120
490	349692	6409
491	350547	5699
492	351368	4989
493	352238	4278
494	353063	3566
495	353849	2853
496	354567	2140
497	355333	1427
498	356126	713
499	356945	0
