iter	PRAUC	Logloss
138	0.8842246278	0.3580154146
139	0.8843432105	0.3579557479
140	0.8843769104	0.3579345183
141	0.8843774083	0.3579290157
142	0.884409371	0.3579138302
143	0.8845143561	0.3578752415
144	0.8848072882	0.3574033706
145	0.8848703904	0.3573696895
146	0.8849125723	0.3573242462
147	0.8849983505	0.3572786679
148	0.8850388088	0.3572652484
149	0.885118186	0.3567836236
150	0.8852512273	0.3567041579
151	0.885258298	0.3566935428
152	0.8854004401	0.3566112478
153	0.8855986811	0.3565532958
154	0.8856413375	0.3565368721
155	0.8857740622	0.3564899336
156	0.8860451107	0.3563913035
157	0.8861603036	0.3563528168
158	0.8861806485	0.3563464808
159	0.8862262411	0.3563036429
160	0.8863006998	0.3562523943
161	0.8864930229	0.3561499485
162	0.8865748722	0.3561208851
163	0.8868412335	0.3560494164
164	0.886852043	0.356040128
165	0.8869036746	0.356007924
166	0.8869865509	0.3559283796
167	0.8870378306	0.3559033128
168	0.8870961328	0.3558546961
169	0.8872207318	0.3558031076
170	0.8873244202	0.3557390531
171	0.8874222291	0.3556759894
172	0.8875541654	0.3556333042
173	0.88768816	0.3555861519
174	0.8878931338	0.3555096201
175	0.8879801465	0.3554756593
176	0.8880175732	0.3554608897
177	0.8880954788	0.3554197822
178	0.8882008263	0.3553801539
179	0.8883345371	0.3553275296
180	0.8884727367	0.3552845582
181	0.888533261	0.3552361296
182	0.8885319295	0.3552284823
183	0.8886255957	0.3551968217
184	0.8886821285	0.3551278438
185	0.8887099741	0.3551091178
186	0.8887200458	0.3550967313
187	0.8887869555	0.3550687933
188	0.8888957707	0.3550255819
189	0.8890188445	0.3549831549
190	0.8891715147	0.3545245642
191	0.8892633175	0.354477101
192	0.889554068	0.3543689118
193	0.8896456426	0.3543268351
194	0.889859982	0.3542282579
195	0.889918008	0.3541941528
196	0.8899930287	0.354164793
197	0.8900049633	0.353942101
198	0.8901418092	0.3538873664
199	0.8901894981	0.3538789315
200	0.8902525203	0.3538287662
201	0.8903125964	0.3538036376
202	0.8902948563	0.3537994193
203	0.8903782911	0.3534194054
204	0.8905848288	0.3533408224
205	0.8906009524	0.3531801574
206	0.8907800332	0.3531174827
207	0.8908410117	0.3530665464
208	0.8909325914	0.3530296542
209	0.8909978731	0.3529872795
210	0.890985787	0.3525929083
211	0.8909960452	0.3525812988
212	0.8910178767	0.3525636934
213	0.8910826778	0.3525269092
214	0.8911162862	0.3523444287
215	0.8911535914	0.3519839914
216	0.8912920416	0.3519243112
217	0.8914379961	0.3518703798
218	0.8914452809	0.3513422623
219	0.8915164099	0.3512669086
220	0.8916033558	0.351129036
221	0.8917023651	0.3510622251
222	0.8917893845	0.3508747244
223	0.89179826	0.3508710277
224	0.8918799368	0.3508082552
225	0.891950048	0.3505883646
226	0.891981988	0.3504391249
227	0.8921455459	0.3503458044
228	0.8923212035	0.3502698407
229	0.8924340054	0.3502103541
230	0.8924700375	0.3499933696
231	0.8925695331	0.3497811805
232	0.8925730498	0.3497759183
233	0.8926411265	0.3495504891
234	0.8927239721	0.3495126673
235	0.892732326	0.3493540677
236	0.8927971593	0.3492633827
237	0.8927978355	0.3492557392
238	0.8929333224	0.3491804628
239	0.8929443026	0.3491680855
240	0.8929992376	0.349124262
241	0.8930047616	0.3487203687
242	0.8932463047	0.3486334678
243	0.8936592635	0.3484826254
244	0.8937308581	0.3484059396
245	0.8937898905	0.3483158424
246	0.8937445923	0.3474084522
247	0.8937578354	0.3472486653
248	0.8940649213	0.3471121057
249	0.8941017351	0.3467832952
250	0.8941725049	0.3467423478
251	0.8943432858	0.3466616553
252	0.8943762842	0.3464047966
253	0.8944276084	0.3461204329
254	0.894477323	0.3449401851
255	0.8946603318	0.3447451399
256	0.8947185852	0.3444112255
257	0.8948454669	0.3442284853
258	0.894935275	0.3441917885
259	0.8950093097	0.3441141268
260	0.8952049499	0.3440215209
261	0.8953676309	0.343911505
262	0.8955435428	0.3438221114
263	0.895576305	0.3436274473
264	0.8956064636	0.3431214798
265	0.8957807828	0.343033896
266	0.8959521198	0.3429613425
267	0.8960849395	0.3428124703
268	0.8961626504	0.3426870678
269	0.8962004704	0.3426059574
270	0.896334844	0.3425154095
271	0.896387615	0.3422105572
272	0.8964974566	0.3419220463
273	0.8965779484	0.3412627065
274	0.8966199221	0.3411709441
275	0.8966970322	0.3410761581
276	0.8968378916	0.3409906926
277	0.8969394416	0.3407054447
278	0.8969937049	0.3404519901
279	0.8970969062	0.3403287935
280	0.8972093962	0.3402794033
281	0.8975402316	0.3401433776
282	0.8977300651	0.3400478172
283	0.8979920508	0.3399224327
284	0.8981116669	0.3395258567
285	0.8981754833	0.339459944
286	0.8983429451	0.3393632318
287	0.8983642923	0.3391425698
288	0.8985921793	0.339034805
289	0.8986759005	0.3389071868
290	0.8987458707	0.3384040201
291	0.8988050075	0.3381446464
292	0.8991211648	0.3379970633
293	0.8991814322	0.337921951
294	0.8991706407	0.3375012771
295	0.8992890484	0.3373880127
296	0.8995580231	0.3372663753
297	0.8996999485	0.3371448188
298	0.8999372388	0.3370303274
299	0.8999841822	0.3369418795
300	0.899992807	0.3366652042
301	0.9001592241	0.3365386291
302	0.9002211501	0.3364776028
303	0.9003482189	0.3364048769
304	0.9004634713	0.3363558063
305	0.9006350337	0.3362704812
306	0.9007189602	0.3361709179
307	0.9008311377	0.3360661172
308	0.9008893903	0.3360179152
309	0.9009933067	0.3359458085
310	0.9011387161	0.3358535655
311	0.9011955488	0.3357867402
312	0.9014386552	0.3356592917
313	0.9015676274	0.3355577113
314	0.9016970245	0.3354839741
315	0.901828737	0.3354133043
316	0.9019395018	0.3353335191
317	0.9021338326	0.3351794583
318	0.9023189592	0.3350902639
319	0.9024471332	0.3350257149
320	0.9026358006	0.3349270409
321	0.9026704516	0.3348946742
322	0.9027588138	0.3348003776
323	0.9028860976	0.3347170822
324	0.9031093511	0.3345950314
325	0.9031991988	0.3343922599
326	0.9033245587	0.3342712996
327	0.9034147322	0.3341921559
328	0.9036008389	0.3340799399
329	0.9036209499	0.3340507759
330	0.9037884789	0.3339410186
331	0.9038347091	0.3339054401
332	0.9040166767	0.3338144274
333	0.9040460565	0.3337513637
334	0.9041610714	0.3336841272
335	0.9043444734	0.3335730671
336	0.90463037	0.3334389037
337	0.9048512856	0.3333145245
338	0.9048933602	0.3332590997
339	0.9051040421	0.3331426272
340	0.9052189437	0.333077571
341	0.9052751304	0.3330326682
342	0.9053555026	0.3329891359
343	0.9053458409	0.3328093406
344	0.9054343056	0.3327165318
345	0.9054806653	0.3326880987
346	0.9056024767	0.3326068611
347	0.9056880783	0.3325568376
348	0.9058641034	0.3324593098
349	0.9060487173	0.3323413937
350	0.9061030546	0.3322954955
351	0.906233573	0.3322083432
352	0.9062400301	0.332052855
353	0.9064003159	0.3319536147
354	0.9064565267	0.3318723772
355	0.9064994655	0.3317978557
356	0.9066361395	0.3317187357
357	0.906808765	0.3316172984
358	0.906907359	0.3315572393
359	0.9070407592	0.3314939665
360	0.9071106923	0.3314496171
361	0.9071802104	0.3313979896
362	0.9072660942	0.3313409779
363	0.9072891374	0.3313109665
364	0.9073874712	0.3312431507
365	0.9074634272	0.3311806267
366	0.9075074658	0.3311173895
367	0.907554654	0.3310870361
368	0.9076888218	0.3310025815
369	0.9077689308	0.3309452135
370	0.9079436172	0.3308640755
371	0.9081019775	0.3307645235
372	0.9082712054	0.3306738116
373	0.9084391802	0.3305907711
374	0.9084932518	0.3305318194
375	0.9085768202	0.3304781987
376	0.9086347228	0.3304305203
377	0.9087684634	0.3303067989
378	0.9088737106	0.3302160709
379	0.9090422992	0.3301175638
380	0.9090766582	0.329913625
381	0.9092364668	0.3298191516
382	0.9093112317	0.3297476871
383	0.9094105969	0.3296810073
384	0.9095191388	0.3296095173
385	0.9095874588	0.3294946279
386	0.9096774006	0.3294391883
387	0.9096977678	0.3293816064
388	0.909888073	0.3292633959
389	0.9099600447	0.3292076904
390	0.9100218845	0.3291575669
391	0.9100828448	0.3290829835
392	0.9102085939	0.3289953967
393	0.910243872	0.3289565827
394	0.9103698636	0.3288695612
395	0.9104349463	0.3288270988
396	0.9105133306	0.3287772457
397	0.9106170067	0.3287043327
398	0.9106977164	0.328648116
399	0.9107591593	0.3285998451
400	0.9108194073	0.3285625649
401	0.9109218808	0.3284864922
402	0.9110144539	0.3284203193
403	0.9110651031	0.3283735468
404	0.9112825833	0.3282557014
405	0.9113331936	0.3282216327
406	0.9114528787	0.3281382695
407	0.9114872553	0.3281029413
408	0.9115436366	0.3280660799
409	0.9116648043	0.3279854839
410	0.9117174516	0.3279581294
411	0.9118515197	0.3278726152
412	0.9119437233	0.3278147005
413	0.9119824558	0.3277856314
414	0.9120791042	0.3277159377
415	0.9121875175	0.3276425806
416	0.9122806271	0.3275782967
417	0.9123568322	0.3275178616
418	0.9124549726	0.3274440435
419	0.9125339032	0.3273644736
420	0.9125877676	0.327327873
421	0.9126466593	0.3272718358
422	0.9126571066	0.3272308863
423	0.9126839947	0.3271596912
424	0.9127993889	0.3270673315
425	0.9128922437	0.3269928001
426	0.9130110671	0.3269331444
427	0.9131368592	0.3268601964
428	0.9131366951	0.326718352
429	0.9132220229	0.3266739718
430	0.9132885923	0.3266268051
431	0.9133981027	0.3265514082
432	0.9135909114	0.3264114041
433	0.9136942891	0.3263425233
434	0.91374391	0.3263056972
435	0.9138763318	0.3262261487
436	0.9139827411	0.3261613501
437	0.914147852	0.3260729543
438	0.9141968605	0.3260355925
439	0.9142764824	0.3259562831
440	0.9144677033	0.3258322861
441	0.9145364929	0.3257838966
442	0.9145832683	0.3257399395
443	0.9146559383	0.3256837794
444	0.9147240053	0.3256208002
445	0.9147689104	0.3255871354
446	0.9148630954	0.3255281755
447	0.914949472	0.325478159
448	0.9149955612	0.3254228021
449	0.9150411393	0.3253727779
450	0.9151048766	0.3252910364
451	0.9152035906	0.3252201414
452	0.9153136977	0.3251549164
453	0.9153840008	0.3250710303
454	0.9156182653	0.3249507416
455	0.9156996461	0.3248948298
456	0.9158027183	0.3248239176
457	0.9159153294	0.3247413886
458	0.9159733035	0.3246983885
459	0.9160964885	0.324578954
460	0.9162074411	0.3245105704
461	0.9163935015	0.3244113094
462	0.9164414846	0.3243688935
463	0.9165279196	0.3243062193
464	0.9165747716	0.3242811213
465	0.9166470868	0.3242331437
466	0.9167399626	0.3241742846
467	0.9167948666	0.3238496748
468	0.9168282471	0.3238190865
469	0.9169838944	0.3237230614
470	0.9170663833	0.3236587947
471	0.9171459907	0.3235852383
472	0.9172436813	0.3235136383
473	0.9173559423	0.3234372368
474	0.9174356098	0.3233847135
475	0.9175362222	0.3233220335
476	0.9175608095	0.3232762716
477	0.9176050885	0.3232388728
478	0.9176956013	0.3231769102
479	0.9177488438	0.3231207304
480	0.9178326672	0.3230483552
481	0.9179538971	0.3229603843
482	0.9179861747	0.3227846885
483	0.9180258265	0.322725654
484	0.918088461	0.3226796136
485	0.9182387843	0.322599351
486	0.9183661914	0.3225141569
487	0.9184938508	0.3224328212
488	0.9185441472	0.3223649798
489	0.9186623554	0.3222860747
490	0.9186961182	0.3222563118
491	0.9187709129	0.3222020341
492	0.9188498623	0.3221390523
493	0.9189046115	0.3221001506
494	0.9189989484	0.3220357414
495	0.9190489373	0.3219891785
496	0.9191025599	0.3219412509
497	0.9191501267	0.3218908272
498	0.9192282832	0.3218450343
499	0.9193219564	0.3217808779
