Accuracy_Mean,Accuracy_SD,Precision_Mean,Precision_SD,Recall_Mean,Recall_SD,F1_Mean,F1_SD,ROC_AUC_Mean,ROC_AUC_SD,PR_AUC_Mean,PR_AUC_SD,Model
0.9662695746477468,0.00020428346824926711,0.9837712007619046,0.01348735403878536,0.2253836882942421,0.003254221675132021,0.366727228553962,0.004391285372443576,0.8946587255887017,0.003961155160634709,0.40671223341642815,0.006147139700027132,CatBoost
0.9656689135659742,0.00017948340397714267,0.9450745157335649,0.011495332879088603,0.2206179266263252,0.00351543276668212,0.35770956370501894,0.004673194109419567,0.8889697339743459,0.0026876756601481007,0.39574491514749177,0.005587348369797638,LightGBM
0.7252198924994884,0.0012722929662157122,0.12905881535516087,0.0006130710822233835,0.9291117176345285,0.007195448103319523,0.22663587561963058,0.0010965939914611125,0.8851044150302931,0.0024278004472342053,0.3895296164302434,0.0066139132837568695,XGBoost
0.7171798732127713,0.03382808522781422,0.09314114126034796,0.01251664667188232,0.6246313022061498,0.04977283963148237,0.16192191793966856,0.01991400842564678,0.7492457946062993,0.045368194532578746,0.13262023296101216,0.03704994364988721,Random Forest
0.7987685888517673,0.002686943539815881,0.0630236191172392,0.0028440974013663363,0.2627766075044172,0.01321269576508799,0.101660523865261,0.004636202442433761,0.5803536761808544,0.005585615274879246,0.05875272509069106,0.002371559926298575,Logistic Regression
