feature,mean_abs_shap
prior_admissions,1.4696768550114745
days_since_last_admission,0.6395008375430602
length_of_stay,0.20890317221342417
admissions_last_180d,0.12686921880558824
comorbidity_count,0.07370756682753055
icd9_dgns_cd_10,0.06457265416691961
admissions_last_90d,0.04260239928444827
sp_chf,0.02955666036515188
proc_group,0.024604034806760766
age,0.022172514812624257
bene_race_cd,0.021301167971194118
sp_alzhdmta,0.014858975785167075
sp_chrnkidn,0.014606987305315908
clm_utlztn_day_cnt,0.013724811788015781
sp_ra_oa,0.013055043889667398
sp_copd,0.012296527252725536
sp_cncr,0.011861301965170542
bene_sex_ident_cd,0.011723369622802285
admissions_last_30d,0.008956719101502343
sp_state_code,0.008896247619192056
icd9_dgns_cd_5,0.006520087800838485
icd9_dgns_cd_3,0.006070461530631228
diag_group,0.00579167168146283
icd9_dgns_cd_2,0.005789365946717143
admissions_last_7d,0.005404628251939019
num_procedures,0.004901432195917989
primary_procedure_group,0.00476170625371063
sp_depressn,0.004719509555522888
icd9_dgns_cd_1,0.003862738888246715
sp_strketia,0.00381292356899464
sp_osteoprs,0.0036057367264325994
sp_diabetes,0.0032165450285887944
icd9_dgns_cd_4,0.0029522921622340856
sp_ischmcht,0.002927117081149425
icd9_dgns_cd_9,0.002627337570304762
icd9_prcdr_cd_2,0.002511325394252955
icd9_dgns_cd_8,0.0024268089945552467
primary_disease_group,0.0023390848978011173
icd9_dgns_cd_7,0.002157480893856202
icd9_dgns_cd_6,0.0020539943182210784
icd9_prcdr_cd_4,0.0016705525483072584
icd9_prcdr_cd_5,0.0014942925050463482
icd9_prcdr_cd_3,0.001470757761305549
icd9_prcdr_cd_1,0.001170081479383538
icd9_prcdr_cd_6,0.000519035641955477
admissions_last_14d,2.3373859975924925e-05
